playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"497302","null","Brandon LaFell","WR","NE","WR","NE","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"497312","null","Preston Parker","WR","FA","WR","FA","null","0.4881","null","null","399","399","null","null","0.0663","null","null","null","0.9214","0","4.9503","null",
"497320","null","Andre Roberts","WR","WAS","WR","WAS","null","1.4935","null","null","330","330","null","null","0.0692","null","null","null","3.4205","-0.052","3.4402","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","14.3774","null","null","43","43","null","null","0.3979","null","null","null","16.6488","10.16","5.6071","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","10.1194","null","null","85","85","null","null","0.5398","null","null","null","10.9382","8.0921","4.8052","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","15.1459","null","null","35","35","null","null","0.3934","null","null","null","16.8486","11.6","6.336","null",
"497336","null","Damian Williams","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"1037366","null","Michael Palmer","TE","FA","TE","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"1037847","null","Deji Karim","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"1037885","null","Marc Mariani","WR","CHI","WR","CHI","null","0.1143","null","null","455","455","null","null","0.0607","null","null","null","0.2372","0","7.1906","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","8.7435","null","null","113","113","null","null","0.3247","null","null","null","12.2795","6.77","6.5937","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","17.7605","null","null","13","13","null","null","0.1215","null","null","null","19.1944","14.5","3.2136","null",
"2495150","null","Kai Forbath","K","FA","K","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"2495158","null","Leonard Hankerson","WR","ATL","WR","ATL","null","8.7919","null","null","109","109","null","null","0.0141","null","null","null","10.1437","5.2","3.2848","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","5.6399","null","null","205","205","null","null","0.0049","null","null","null","8.0738","0.7177","7.8734","null",
"2495162","null","Alex Henery","K","FA","K","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"2495172","null","Kendall Hunter","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"2495179","null","Jerrel Jernigan","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","17.1644","null","null","21","21","null","null","0.1701","null","null","null","18.6956","13.5869","2.6968","null",
"2495189","null","Jeremy Kerley","WR","NYJ","WR","NYJ","null","3.1567","null","null","269","269","null","null","0.0768","null","null","null","5.903","0.93","5.1053","null",
"2495192","null","Greg Little","WR","CIN","WR","CIN","null","0.2268","null","null","433","433","null","null","0.0106","null","null","null","0.5358","0","6.894","null",
"2495194","null","Jake Locker","QB","FA","QB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"2495207","null","DeMarco Murray","RB","PHI","RB","PHI","null","14.1738","null","null","45","45","null","null","0.6535","null","null","null","16.3331","8.94","6.1277","null",
"2495211","null","Niles Paul","TE","WAS","TE","WAS","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"2495212","null","Austin Pettis","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"2495215","null","Christian Ponder","QB","FA","QB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"2495223","null","Greg Salas","WR","FA","WR","FA","null","0.0696","null","null","460","460","null","null","0.0508","null","null","null","0.1065","0","7.7226","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","5.3196","null","null","219","219","null","null","1.6588","null","null","null","13.3532","0","10.395","null",
"2495241","null","Daniel Thomas","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","1.8957","null","null","311","311","null","null","0.194","null","null","null","2.4376","0.22","5.3023","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","null","8.1628","null","null","125","125","null","null","0.5873","null","null","null","9.502","5.13","7.2912","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","2.2678","null","null","303","303","null","null","0.391","null","null","null","3.0105","1.38","2.1155","null",
"2495306","null","Ricardo Lockette","WR","SEA","WR","SEA","null","0.9632","null","null","357","357","null","null","0.1059","null","null","null","2.2368","0.0791","7.6518","null",
"2495314","null","Bruce Miller","RB","SF","RB","SF","null","0.9446","null","null","359","359","null","null","0.0217","null","null","null","1.5009","0.24","4.309","null",
"2495315","null","Denarius Moore","WR","BUF","WR","BUF","null","0.1755","null","null","444","444","null","null","0.0329","null","null","null","0.3895","0","6.8763","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","5.831","null","null","199","199","null","null","0.2942","null","null","null","6.9834","4.02","2.5794","null",
"2495331","null","Aldrick Robinson","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"2495338","null","Dane Sanzenbacher","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","0.9666","null","null","356","356","null","null","0.0299","null","null","null","1.3811","0.3803","8.1975","null",
"2495341","null","Cecil Shorts","WR","HOU","WR","HOU","null","7.7539","null","null","143","143","null","null","0.2471","null","null","null","8.8203","6.3977","3.2655","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","null","7.7443","null","null","144","144","null","null","0.4745","null","null","null","10.1508","4.17","7.255","null",
"2495425","null","Scott Tolzien","QB","GB","QB","GB","null","0.6231","null","null","387","387","null","null","0.1009","null","null","null","1.137","0","4.0858","null",
