playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
497108,null,Jimmy Clausen,QB,CHI,QB,CHI,null,0.2984,null,null,491,491,null,null,0.0226,null,null,null,0.5392,0,5.7653,null
497117,null,Mike Kafka,QB,MIN,QB,MIN,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
497121,null,Thad Lewis,QB,CLE,QB,CLE,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
497123,null,Colt McCoy,QB,WAS,QB,WAS,null,0.8331,null,null,432,432,null,null,0.106,null,null,null,1.6575,0,2.2905,null
497135,null,Tim Tebow,QB,FA,QB,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
497145,null,Joique Bell,RB,DET,RB,DET,null,7.9816,null,null,154,154,null,null,0.2259,null,null,null,10.3662,5.0595,5.0797,null
497149,null,LeGarrette Blount,RB,NE,RB,NE,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
497172,null,Anthony Dixon,RB,BUF,RB,BUF,null,1.8982,null,null,363,363,null,null,0.1111,null,null,null,3.2277,0.24,2.0775,null
497174,null,Jonathan Dwyer,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
497176,null,Toby Gerhart,RB,JAC,RB,JAC,null,2.5181,null,null,342,342,null,null,0.0376,null,null,null,3.223,1.7659,4.9886,null
497188,null,Ryan Mathews,RB,PHI,RB,PHI,null,9.0346,null,null,128,128,null,null,0.3316,null,null,null,11.5988,6.08,6.2283,null
497190,null,Dexter McCluster,RB,TEN,RB,TEN,null,5.8981,null,null,220,220,null,null,0.0737,null,null,null,7.3286,2.1629,3.4757,null
497192,null,Joe McKnight,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
497204,null,C.J. Spiller,RB,NO,RB,NO,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
497206,null,James Starks,RB,GB,RB,GB,null,4.3323,null,null,272,272,null,null,0.0802,null,null,null,5.6624,3.0685,2.3303,null
497208,null,Ben Tate,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
497218,null,Trindon Holliday,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
497224,null,Ed Dickson,TE,CAR,TE,CAR,null,2.7613,null,null,330,330,null,null,0.0843,null,null,null,3.0109,2.38,4.808,null
497226,null,Jim Dray,TE,CLE,TE,CLE,null,1.9836,null,null,358,358,null,null,0.0347,null,null,null,3.096,0.4848,1.5513,null
497234,null,Garrett Graham,TE,HOU,TE,HOU,null,4.462,null,null,266,266,null,null,0.1993,null,null,null,5.3537,3.2533,2.4019,null
497236,null,Jimmy Graham,TE,SEA,TE,SEA,null,12.5816,null,null,63,63,null,null,1.9765,null,null,null,15.4415,8.59,9.1443,null
497238,null,Jermaine Gresham,TE,ARI,TE,ARI,null,3.6587,null,null,301,301,null,null,0.1147,null,null,null,4.8191,1.995,2.646,null
